Gene	Normal	Tumour	FDR	AveExpr	P value	Normal-1	Normal-2	Normal-3	Normal-4	Normal-5	Tumour-1	Tumour-2	Tumour-3	Tumour-4	Tumour-5	Normal-1 CPM	Normal-2 CPM	Normal-3 CPM	Normal-4 CPM	Normal-5 CPM	Tumour-1 CPM	Tumour-2 CPM	Tumour-3 CPM	Tumour-4 CPM	Tumour-5 CPM
BUD13	0	-0.195108090514573	0.87108562663083	4.23331401859685	0.657351517857669	870	700	857	1462	980	671	971	826	1758	704	19.715	23.381	16.125	22.945	19.619	15.811	17.224	15.848	26.912	12.032
UBLCP1	0	-0.184636583682796	0.871236898499097	5.06472871481989	0.657567351214998	1540	1471	1623	2061	1684	698	2415	1136	1988	2482	34.898	49.133	30.538	32.346	33.712	16.448	42.837	21.796	30.432	42.420
TUSC1	0	0.233313028138567	0.871236898499097	4.31295072208737	0.657598066281787	942	716	841	1002	777	266	1610	501	3045	1035	21.347	23.915	15.824	15.726	15.555	6.268	28.558	9.613	46.613	17.689
C1orf152	0	-0.346698434348786	0.871236898499097	-0.812121410562245	0.657545640484887	22	22	37	22	34	45	9	27	28	12	0.499	0.735	0.696	0.345	0.681	1.060	0.160	0.518	0.429	0.205
ATXN3	0	-0.230600068846881	0.871294622957644	4.85502443603922	0.657685769998724	1250	990	1966	1588	1575	645	4012	589	1227	876	28.326	33.067	36.991	24.923	31.530	15.199	71.165	11.301	18.783	14.972
FPR1	0	0.346768121776916	0.871381520270413	2.61857375389866	0.657795501802753	470	347	106	111	106	141	111	164	1551	213	10.651	11.590	1.994	1.742	2.122	3.323	1.969	3.147	23.743	3.640
C6orf47	0	0.195889467942634	0.871400347063983	4.63788484395949	0.657853853340168	1267	737	652	2188	972	1197	749	1396	1916	1986	28.712	24.617	12.268	34.339	19.458	28.206	13.286	26.785	29.330	33.943
ZNF586	0	0.239542715760531	0.871474207943679	3.46765202574382	0.657953756934482	384	503	276	916.67	399	967.91	442	504	913	370	8.702	16.801	5.193	14.387	7.988	22.808	7.840	9.670	13.976	6.324
ZNF229	0	-0.291852397603228	0.871610719581784	2.66189767635121	0.658100971841053	251	336	262	656	205	336	85	448	559	105	5.688	11.223	4.930	10.296	4.104	7.918	1.508	8.596	8.557	1.795
BRP44	0	0.208037735880357	0.871632231283743	6.11640754545799	0.658161365198397	1575	1383	2810	9604	2368	2665	7664	2071	5444	2913	35.691	46.194	52.872	150.729	47.405	62.798	135.944	39.736	83.337	49.786
ZNF45	0	-0.218223110671522	0.871680659551354	3.82343697280883	0.658242086546023	623	577	689	1171	639	762	435	895	986	417	14.118	19.273	12.964	18.378	12.792	17.956	7.716	17.172	15.094	7.127
LZIC	0	0.190918740982501	0.871938057997405	4.4250355797786	0.65848062540185	772	627	1014	1394	1063	1299	906	1280	1387	1231	17.494	20.943	19.079	21.878	21.280	30.610	16.071	24.559	21.232	21.039
CRAMP1L	0	-0.178277262263632	0.871940190202277	5.48059513218964	0.658526402386585	1303.02	1495.04	1915.04	6131.24	1720.01	1740.04	2253.09	1745.14	3640.05	2297.07	29.528	49.936	36.033	96.226	34.433	41.002	39.965	33.484	55.722	39.260
FBXO7	0	-0.177271760789492	0.871972201107124	6.88602388082688	0.658594746768733	5068	4589	6752	7581	5886	4038	8546	4016	6368	7456	114.846	153.279	127.043	118.980	117.831	95.152	151.589	77.055	97.482	127.432
SPINK2	0	0.475967909507686	0.872108199849782	-2.11394901940429	0.658911996266892	1	20	3	4	5	1	10	35	10	2	0.023	0.668	0.056	0.063	0.100	0.024	0.177	0.672	0.153	0.034
TCTA	0	-0.165345815627823	0.872108199849782	5.61159424987849	0.658918342060549	1864	1696	2306	4724	2360	2872	2368	1769	3583	1975	42.240	56.649	43.389	74.141	47.245	67.676	42.004	33.942	54.849	33.755
C8orf37	0	-0.289562883336718	0.872108199849782	1.9161248215641	0.658849668686839	131	130	193	385	197	157	252	67	316	160	2.969	4.342	3.631	6.042	3.944	3.700	4.470	1.286	4.837	2.735
C17orf55	0	0.457976178722091	0.872108199849782	-0.0150781256218813	0.658841739099865	56	25	30	12	55	2	10	156	3	105	1.269	0.835	0.564	0.188	1.101	0.047	0.177	2.993	0.046	1.795
PI4KAP1	0	0.249910556790736	0.872108199849782	3.20900563183202	0.658766705480553	264	300	500	545	414	636	743	374	227	621	5.983	10.020	9.408	8.553	8.288	14.987	13.179	7.176	3.475	10.614
IFNW1	0	-0.637932392280167	0.872378570029229	-4.34739850219023	0.659268441572326	2	0	1	0	0	0	1	1	0	0	0.045	0.000	0.019	0.000	0.000	0.000	0.018	0.019	0.000	0.000
LRRIQ1	0	0.453886402903137	0.872378570029229	0.260740672012127	0.659299375181648	30	55	4	136	30	128	4	11	247	6	0.680	1.837	0.075	2.134	0.601	3.016	0.071	0.211	3.781	0.103
SIRPD	0	-0.581686398800338	0.872378570029229	-4.22492177778975	0.659281816813591	2	1	1	0	0	1	1	0	0	1	0.045	0.033	0.019	0.000	0.000	0.024	0.018	0.000	0.000	0.017
FLJ45445	0	0.408168004604745	0.872378570029229	1.26774259318425	0.659186169351764	19	183	27	262	14	15	233	136	376	42	0.431	6.112	0.508	4.112	0.280	0.353	4.133	2.609	5.756	0.718
BAHD1	0	0.173680237510501	0.872424274370991	5.16719229088606	0.659422298762229	1570	1269	1221	3035	1272	1706	1259	2314	2923	2166	35.578	42.386	22.974	47.633	25.464	40.200	22.332	44.399	44.745	37.019
C14orf176	0	-0.337117174089795	0.872424274370991	-0.765983863275026	0.659382092752086	23	14	32	58	29	16	47	13	55	9	0.521	0.468	0.602	0.910	0.581	0.377	0.834	0.249	0.842	0.154
LIPF	0	-0.588712741445098	0.872424908149546	-4.06928122915547	0.659466969117399	0	0	1	4	2	3	0	0	0	1	0.000	0.000	0.019	0.063	0.040	0.071	0.000	0.000	0.000	0.017
ZNF80	0	0.503393485157928	0.872480706698581	-1.94403339370751	0.659614090250573	0	17	13	7	2.55	12.95	31.14	0	29	2	0.000	0.568	0.245	0.110	0.051	0.305	0.552	0.000	0.444	0.034
PIP4K2B	0	-0.193138736442302	0.872480706698581	6.89413750619103	0.659641729722572	4898	3646	7416	6730	7504	8466	3920	3225	5764	8103	110.994	121.781	139.536	105.624	150.222	199.493	69.533	61.878	88.236	138.489
C5orf40	0	-0.557295439107062	0.872480706698581	-3.88535224117156	0.659579933751538	0	2	3	1	2	0	3	0	4	0	0.000	0.067	0.056	0.016	0.040	0.000	0.053	0.000	0.061	0.000
BAT1	0	0.212655069996354	0.872492233828546	8.00446425547516	0.659694639568367	8517	9353	13404	14355.08	10854	6547	31922	12614	11897	11890	193.004	312.403	252.204	225.295	217.285	154.274	566.232	242.025	182.120	203.214
ACTN1	0	0.214486926581166	0.872782347854832	8.56535995947041	0.65995820528705	18707	12233	8507	30277	17001	10825	27620	29629	23968	17786	423.921	408.599	160.064	475.181	340.342	255.081	489.923	568.491	366.903	303.983
MLL3	0	-0.186231697641453	0.872895079203316	7.17064520447268	0.660087662720408	6672	3738	8584	11853	7129	7457	3668	5843	8758	10752	151.195	124.854	161.513	186.026	142.715	175.717	65.063	112.110	134.068	183.764
BSG	0	0.211662393630789	0.873070645691352	8.62439058456014	0.660899935131118	15686	9568	20299	24325	19118	25498	20303	29545	23920	11959	355.462	319.584	381.937	381.767	382.722	600.836	360.134	566.879	366.168	204.393
GCLM	0	-0.188365854554291	0.873070645691352	4.61625464580757	0.660704594000254	1365	646	1080	2247	1190	861	1131	1500	1128	1487	30.932	21.577	20.321	35.265	23.823	20.289	20.062	28.780	17.267	25.415
SGSH	0	-0.178625940129265	0.873070645691352	5.14388899838511	0.660952286263085	1669	1585	1231	2914	1691	2087	1055	1996	1677	1885	37.821	52.941	23.162	45.734	33.852	49.178	18.714	38.297	25.672	32.217
VAMP1	0	0.260745300420764	0.873070645691352	2.85811425773441	0.660397263393734	140	344.98	363.86	319.98	341.98	239	741	370.98	464.59	335.99	3.173	11.523	6.846	5.022	6.846	5.632	13.144	7.118	7.112	5.742
OR1E1	0	0.518244372000358	0.873070645691352	-3.07588977776456	0.660266928777713	2	3	7	0	2	1	0	2	23	4	0.045	0.100	0.132	0.000	0.040	0.024	0.000	0.038	0.352	0.068
ZBED1	0	0.169684653297084	0.873070645691352	6.32705493750739	0.660685017499721	3055	2273	3654	5256	4152	3401	3151	5469	7163	4143	69.230	75.921	68.752	82.490	83.119	80.141	55.892	104.934	109.651	70.809
STAG1	0	-0.169747775219385	0.873070645691352	5.88780793039772	0.660646645004819	3251.37	1454.58	3529.23	3669.51	3182.2	2243.57	3990.26	2022.39	3586.47	3467.72	73.680	48.585	66.404	57.591	63.704	52.868	70.779	38.804	54.902	59.267
NRG3	0	0.420821552390078	0.873070645691352	-1.65360285660788	0.660741730375857	10	15	0	20	12	2	30	19	8	27	0.227	0.501	0.000	0.314	0.240	0.047	0.532	0.365	0.122	0.461
FICD	0	-0.299171308054381	0.873070645691352	2.06491263378168	0.660536526963531	177	158	201	443	173	281	102	78	136	384	4.011	5.277	3.782	6.953	3.463	6.621	1.809	1.497	2.082	6.563
PHF8	0	0.177785052946432	0.873070645691352	5.78675605632652	0.660916705064051	1441	1486	2572	6467	1723	2995	2352	2531	4244	3883	32.655	49.634	48.394	101.496	34.493	70.574	41.720	48.562	64.967	66.365
DIP2A	0	0.178709012885704	0.873070645691352	5.30493455235788	0.660972235361308	1722	1276	1891	2499	1535	1136	3144	3091	2016	1815	39.022	42.620	35.580	39.220	30.729	26.769	55.768	59.307	30.861	31.020
THUMPD1	0	-0.176037280982545	0.873070645691352	6.35920347783194	0.660844244328654	3458	2736	3780	8000	3884	2975	4958	1784	6185	5781	78.362	91.386	71.123	125.556	77.753	70.103	87.945	34.230	94.680	98.804
PANK2	0	-0.180504125012447	0.873070645691352	4.64944485659724	0.660936866233366	1002	850	1452	1659	1438	978	970	1245	1873	1400	22.706	28.391	27.320	26.037	28.787	23.046	17.206	23.888	28.672	23.928
C9orf37	0	-0.273123313176025	0.873070645691352	2.2113816140764	0.660379513998518	215	181	196	369	260	123	168	208	494	202	4.872	6.046	3.688	5.791	5.205	2.898	2.980	3.991	7.562	3.452
TMEM179	0	-0.584744016889604	0.873070645691352	-3.75083672749068	0.66080182868328	2	0	1	0	7	3	2	2	0	0	0.045	0.000	0.019	0.000	0.140	0.071	0.035	0.038	0.000	0.000
SNORA9	0	0.669296280720506	0.873070645691352	-4.53563546514174	0.660689788539059	0	0	0	0.81	0	0	0	0	1.89	0	0.000	0.000	0.000	0.013	0.000	0.000	0.000	0.000	0.029	0.000
FLJ41941	0	0.564340706517918	0.873070645691352	-4.11335841669974	0.660459294708396	0	1	0	3	0	2	0	2	1	1	0.000	0.033	0.000	0.047	0.000	0.047	0.000	0.038	0.015	0.017
ZNF827	0	-0.244203035322175	0.873157603543394	3.65405119146193	0.661082296634744	493	334	639	1422	622	965	230	484	400	883	11.172	11.156	12.023	22.318	12.452	22.739	4.080	9.286	6.123	15.091
C11orf45	0	0.312719018028833	0.873201447560922	1.09389123652446	0.66120395297276	88	46	68	131	125	86	69	181	97	178	1.994	1.536	1.279	2.056	2.502	2.027	1.224	3.473	1.485	3.042
SDHAP1	0	-0.255533079453486	0.873201447560922	2.72473696776884	0.661202999584726	440	185	320	505	293	331	191	365	514	230	9.971	6.179	6.021	7.926	5.866	7.800	3.388	7.003	7.868	3.931
FAM127A	0	-0.183836003887466	0.873209171058206	6.38794507446823	0.661514200189868	4215	3348	4953	2774	4906	2227	4421	5240	5566	3982	95.516	111.828	93.193	43.536	98.213	52.477	78.420	100.540	85.205	68.057
ZNF268	0	-0.194809062253114	0.873209171058206	4.6327597617315	0.66154976253472	1034	801	1252	2245	1250	1132	952	620	1291	2311	23.432	26.755	23.557	35.234	25.024	26.674	16.887	11.896	19.763	39.498
RAB38	0	0.341712266229694	0.873209171058206	2.59173308658722	0.661321700137214	125	107	109	1188	72	100	957	163	549	147	2.833	3.574	2.051	18.645	1.441	2.356	16.975	3.127	8.404	2.512
USP28	0	0.185335925574314	0.873209171058206	4.68756691799392	0.661492280654861	936	724	1023	2575	928	916	2088	1322	1829	1367	21.211	24.183	19.248	40.413	18.578	21.585	37.037	25.365	27.998	23.364
OSCP1	0	0.246209890138061	0.873209171058206	3.64115059718552	0.661563649656448	402	403	572	820	568	511	500	251	2395	457	9.110	13.461	10.762	12.869	11.371	12.041	8.869	4.816	36.663	7.811
KCTD7	0	-0.201360952907042	0.873209171058206	4.3291701872888	0.661537808073668	686.94	641	1508.68	1038	1196.38	1049.86	1035	1075.94	822.7	923	15.567	21.410	28.387	16.291	23.950	24.739	18.359	20.644	12.594	15.775
TMEM188	0	-0.212850718662907	0.873209171058206	3.90925392547327	0.661390448165555	858	600	827	677	746	687	1112	418	816	752	19.443	20.041	15.560	10.625	14.934	16.188	19.725	8.020	12.491	12.853
ADAMTSL5	0	-0.35822771866909	0.873209171058206	0.993153701502086	0.661435967247175	72	70	55	370	44	151	11	77	74	129	1.632	2.338	1.035	5.807	0.881	3.558	0.195	1.477	1.133	2.205
PBXIP1	0	-0.219671414028567	0.873295938236446	7.31139547918752	0.661673621929934	10373	4222	6374	12051	8709	7671	1489	11639	10384	7872	235.063	141.021	119.930	189.134	174.345	180.760	26.412	223.317	158.959	134.541
GJD4	0	-0.490121642958574	0.873324046843745	-3.92237402524938	0.661739155948515	1	0	2	6	0	1	2	1	1	1	0.023	0.000	0.038	0.094	0.000	0.024	0.035	0.019	0.015	0.017
SH2D1A	0	0.448451920475084	0.873385245940041	0.851449669995321	0.661903275642245	81	120	26	27	58	168	154	0	245	14	1.836	4.008	0.489	0.424	1.161	3.959	2.732	0.000	3.750	0.239
P2RY4	0	-0.426512020345659	0.873385245940041	-2.91255056412828	0.662006213376683	6	5	7	8	0	9	1	3	5	3	0.136	0.167	0.132	0.126	0.000	0.212	0.018	0.058	0.077	0.051
TCF25	0	-0.175116978757392	0.873385245940041	6.41626252129245	0.662095207716475	3940	3065	3695	6944	4510	2154	3158	4741	5582	6423	89.285	102.375	69.523	108.982	90.285	50.757	56.017	90.965	85.449	109.776
GGA2	0	0.162722333556898	0.873385245940041	6.624047924548	0.662018785760298	3779	3225	4479	7278	4040	4973	5531	5452	6889	5360	85.636	107.719	84.275	114.224	80.876	117.184	98.109	104.607	105.457	91.609
MUDENG	0	-0.18019065388629	0.873385245940041	5.31598304755675	0.661935228928378	1498	1225	2025	3934	1994	1485	3614	930	2238	2029	33.946	40.917	38.101	61.742	39.918	34.993	64.105	17.844	34.259	34.678
C7orf60	0	0.20308156114222	0.873385245940041	3.89948655060048	0.662084784167239	716	402	643	910	673	858	714	751	958	1006	16.225	13.427	12.098	14.282	13.473	20.218	12.665	14.409	14.665	17.194
ZSCAN1	0	-0.57333334910321	0.873385245940041	-2.28357816706496	0.661881128584617	9	9	0	35	2	0	0	27	4	2	0.204	0.301	0.000	0.549	0.040	0.000	0.000	0.518	0.061	0.034
FNTB	0	0.175101440629687	0.873592163060128	4.96899618322078	0.662384818602323	1227.84	917	1456.06	1898.57	1589.43	1199.28	2342.11	1136.3	3260.82	1482.35	27.824	30.629	27.397	29.797	31.819	28.260	41.544	21.802	49.917	25.335
C17orf82	0	-0.366569270367896	0.873592163060128	-2.36968602476122	0.662368057704247	8	4	9	16	7	4	2	9	5	16	0.181	0.134	0.169	0.251	0.140	0.094	0.035	0.173	0.077	0.273
C17orf107	0	-0.331783354730778	0.873592163060128	2.05553867147378	0.662306703317555	173.8	165.94	80.81	752.4	91.43	178.54	70.66	50.15	638.29	166.17	3.938	5.543	1.520	11.809	1.830	4.207	1.253	0.962	9.771	2.840
FAM50B	0	-0.285710669971498	0.873636154284856	2.94279228583449	0.662462426787777	401	241	315	649	464	52	160	256	766	786	9.087	8.050	5.927	10.186	9.289	1.225	2.838	4.912	11.726	13.434
MAST3	0	-0.221767958759333	0.873930812011734	4.11377855767063	0.662730127982356	733	617	988	816	1187	1309	447	407	1552	679	16.611	20.609	18.590	12.807	23.762	30.845	7.929	7.809	23.758	11.605
DHX38	0	-0.16213135477585	0.874133271808276	5.65486427678541	0.662972215519467	2662	1593	2070	3736	2870	1624	2364	2606	2955	3398	60.324	53.208	38.948	58.634	57.454	38.268	41.933	50.001	45.235	58.076
FLJ37201	0	-0.35394062867964	0.874133271808276	-1.12170470455321	0.662932767321149	11	23	23	21	31	19	19	2	48	20	0.249	0.768	0.433	0.330	0.621	0.448	0.337	0.038	0.735	0.342
C22orf31	0	-0.472282255564889	0.87419867713586	-3.16864658281608	0.663085362626918	4	3	2	1	9	2	1	0	14	2	0.091	0.100	0.038	0.016	0.180	0.047	0.018	0.000	0.214	0.034
UTP3	0	-0.167184162183954	0.87419867713586	5.02586458782267	0.663110383452006	1668	1257	1306	2760	1434	1634	1883	1145	2177	1543	37.799	41.986	24.573	43.317	28.707	38.504	33.401	21.969	33.326	26.372
STXBP3	0	-0.15664888680112	0.874312149228022	5.55440223716815	0.663339162062512	2239	1948	2022	3760	2037	1989	2562	1871	3419	2407	50.738	65.066	38.045	59.011	40.779	46.869	45.445	35.899	52.338	41.138
B3GNT9	0	0.207801769748416	0.874312149228022	3.90143552515018	0.663293397046933	489.71	450.33	573.7	864.25	950.84	775.34	803.88	492.46	1226.5	1128.26	11.097	15.042	10.794	13.564	19.035	18.270	14.259	9.449	18.775	19.283
C10orf125	0	-0.306431207442268	0.874312149228022	2.11808048859929	0.663292948662605	297	117	293	115	260	106	121	439	224	119	6.730	3.908	5.513	1.805	5.205	2.498	2.146	8.423	3.429	2.034
ZCCHC18	0	0.327229839435135	0.874312149228022	-0.603846031498963	0.66337360365143	20	30	16	21	37	15	63	37	45	30	0.453	1.002	0.301	0.330	0.741	0.353	1.117	0.710	0.689	0.513
FLNA	0	-0.26534653261479	0.874466671122663	10.04968171041	0.663535139976572	72623	34442	36135	82290	55388	32955	13649	98389	51687	55506	1645.715	1150.410	679.900	1291.496	1108.808	776.553	242.106	1887.788	791.227	948.661
PTPRA	0	-0.184873647222224	0.874801806934633	6.86994744233477	0.663892618117652	5417	3795	6961	7465.99	6170	7097.02	2616	4611	10182	5623	122.755	126.758	130.975	117.175	123.517	167.234	46.403	88.471	155.866	96.103
ZNF407	0	-0.199089461182192	0.874801806934633	4.16538776513087	0.663850593943669	948	431	990	1419	935	893	563	780	1090	1184	21.483	14.396	18.627	22.270	18.718	21.043	9.986	14.966	16.686	20.236
C6orf122	0	-0.329704129272558	0.874801806934633	-0.487958120336445	0.663922372267329	12.65	30.72	40.13	44.44	51.03	22.92	47.98	8.76	48.66	40.64	0.287	1.026	0.755	0.697	1.022	0.540	0.851	0.168	0.745	0.695
ZHX2	0	0.174471332738045	0.875068932383191	5.74599522723117	0.664169429785723	2179	1955	2106	3330	2491	1142	3308	2502	6091	3325	49.378	65.300	39.626	52.263	49.867	26.910	58.677	48.006	93.241	56.828
LRDD	0	0.253554442970503	0.87518510711004	2.87449608617087	0.664301936482826	284	257	267	585	252	564	279	177	836	368	6.436	8.584	5.024	9.181	5.045	13.290	4.949	3.396	12.798	6.290
ANXA8L2	0	-0.368664024469458	0.875202257607941	1.46270263744064	0.664403618416078	278	147	8	132	126	31	93	237	244	55	6.300	4.910	0.151	2.072	2.522	0.730	1.650	4.547	3.735	0.940
HIST1H2AD	0	0.557130645742158	0.875202257607941	-1.90143727891571	0.664370656646392	0	0	0	61.02	2.36	29.31	13.56	14.36	5.53	4.37	0.000	0.000	0.000	0.958	0.047	0.691	0.241	0.276	0.085	0.075
DDX50	0	-0.160926060431185	0.875273509259684	5.65835265127552	0.66450204420951	2350	1731	2646	3262	2769	1458	2229	2551	3966	3060	53.254	57.818	49.786	51.195	55.432	34.356	39.538	48.946	60.712	52.299
C12orf68	0	-0.328044611346772	0.875444857678273	0.625187059230533	0.664676475115978	143	47	35	128	55	41	29	56	173	89	3.241	1.570	0.659	2.009	1.101	0.966	0.514	1.074	2.648	1.521
BRAP	0	0.171247057874677	0.875472292754775	5.19025754716169	0.664805753442918	1555	1072	1586	2199	1851	2025	2572	1105	2029	2737	35.238	35.806	29.841	34.512	37.055	47.717	45.622	21.202	31.060	46.778
PRDM6	0	0.334996274768075	0.875472292754775	1.01880608081781	0.664830342061574	83	70	69	140	66	151	22	32	201	213	1.881	2.338	1.298	2.197	1.321	3.558	0.390	0.614	3.077	3.640
NAGS	0	0.356855903856711	0.875472292754775	0.605158447236401	0.664762118504504	31	77	11	168	47	144	23	85	151	44	0.702	2.572	0.207	2.637	0.941	3.393	0.408	1.631	2.312	0.752
MORC4	0	0.195813027765546	0.875516768385191	5.78339494836982	0.664908464613472	2258	1088	2922	3172	3037	1783	6447	1676	2047	4002	51.169	36.341	54.979	49.783	60.797	42.015	114.357	32.157	31.336	68.399
OCA2	0	0.414092939570299	0.875524508719009	-1.46821498564902	0.664958691304469	6	9	12	42	6	1	34	40	22	2	0.136	0.301	0.226	0.659	0.120	0.024	0.603	0.767	0.337	0.034
PEX7	0	0.234582636902307	0.875671367670768	3.62186391913815	0.665144097228953	367	425	377	1364	399	464	607	269	1136	1293	8.317	14.196	7.093	21.407	7.988	10.934	10.767	5.161	17.390	22.099
RAD51L3	0	0.230758395795287	0.875671367670768	3.15451157008827	0.665158941829138	372	269	395	501	415	549	483	326	455	751	8.430	8.985	7.432	7.863	8.308	12.937	8.567	6.255	6.965	12.835
PIGL	0	-0.296344334988487	0.875683150093556	1.7538437604245	0.665212248098118	129	98	224	260	190	247	221	108	96	101	2.923	3.273	4.215	4.081	3.804	5.820	3.920	2.072	1.470	1.726
NFIL3	0	-0.213403612334027	0.875772661044807	5.52934151045502	0.66532460593405	3687	1669	1729	2837	1757	452	1678	3013	5471	1778	83.551	55.747	32.532	44.525	35.173	10.651	29.764	57.810	83.750	30.388
ETV3	0	0.219953851261091	0.875799753289147	4.07049677129829	0.665389550176473	947	301	878	906	705	607	1206	1545	690	665	21.460	10.054	16.520	14.219	14.113	14.303	21.392	29.644	10.563	11.366
CHRM5	0	-0.399139787835115	0.876182688617915	-1.9654356923879	0.666267071202048	3	7	2	60	3	6	15	8	11	11	0.068	0.234	0.038	0.942	0.060	0.141	0.266	0.153	0.168	0.188
CSNK1G3	0	-0.174015350187183	0.876182688617915	5.27688498480545	0.6663084166215	1941	1285	2050	2874	1817	1338	1714	934	2937	3325	43.985	42.921	38.572	45.106	36.374	31.529	30.403	17.921	44.960	56.828
XCR1	0	0.533445517726069	0.876182688617915	-2.85475947161759	0.666221772227587	4	3	4	4	4	20	0	0	11	0	0.091	0.100	0.075	0.063	0.080	0.471	0.000	0.000	0.168	0.000
SMAD1	0	0.161931846695003	0.876182688617915	5.39829679216297	0.665810304267244	1557	1489	2227	2357	1814	1807	2129	1776	3391	3224	35.283	49.735	41.902	36.992	36.314	42.580	37.764	34.076	51.910	55.102
TAZ	0	-0.211068462254969	0.876182688617915	3.81883951458752	0.665945218129242	623	627.48	914	620	681	552	578	564	1365	627	14.118	20.959	17.197	9.731	13.633	13.007	10.253	10.821	20.895	10.716
NIPBL	0	0.176266568806951	0.876182688617915	6.96808439134083	0.665750664306548	5371	2749	6623	8776	5499	7047	6112	7364	6080	8513	121.713	91.820	124.615	137.734	110.084	166.056	108.415	141.293	93.073	145.497
WWTR1	0	0.176648226397241	0.876182688617915	5.36606934311827	0.666005364467572	1874.54	1084.67	1997.18	2752.02	1732.1	1277.71	4007.34	2589.07	2047.58	1837.01	42.479	36.229	37.578	43.191	34.675	30.108	71.082	49.676	31.344	31.397
ITFG2	0	0.19463106839561	0.876182688617915	4.60591865309506	0.66624022351666	1017	688	1170	1294	1241	751	2717	887	1695	1158	23.046	22.980	22.014	20.309	24.843	17.697	48.194	17.019	25.947	19.792
RBM25	0	0.189625578082851	0.876182688617915	6.74371718094598	0.665913523947827	3903	3269	5102	7574	4663	3529	12585	5342	3905	5214	88.446	109.189	95.997	118.870	93.348	83.158	223.232	102.497	59.778	89.113
EFHD2	0	-0.184038292463145	0.876182688617915	5.2653126092698	0.66621262360112	2715	2087	848	2289	1481	1893	1664	1765	3127	1449	61.525	69.709	15.956	35.925	29.648	44.607	29.516	33.865	47.868	24.765
LRRC3	0	-0.3663274103954	0.876182688617915	2.0348373168899	0.666136833469594	203	67	427	105	254	52	33	587	70	134	4.600	2.238	8.034	1.648	5.085	1.225	0.585	11.263	1.072	2.290
TTC5	0	-0.228865549817701	0.876182688617915	3.086977016346	0.666078859412253	406	267	402	848	375	301	342	400	756	383	9.200	8.918	7.564	13.309	7.507	7.093	6.066	7.675	11.573	6.546
NAPRT1	0	-0.281769477706382	0.876182688617915	4.39261051493217	0.665911021947657	710	1171	710	1816	1140	326	53	1977	1283	1445	16.089	39.113	13.359	28.501	22.822	7.682	0.940	37.933	19.640	24.697
C9orf41	0	-0.244869768007446	0.876182688617915	2.96801608643766	0.666346210460408	335	243	347	879	360	395	224	241	408	661	7.591	8.117	6.529	13.795	7.207	9.308	3.973	4.624	6.246	11.297
RICTOR	0	-0.167144423081017	0.876182688617915	5.54409930972037	0.665970264288873	2343	1214	2712	3558	2281	2527	2793	1729	1901	2722	53.095	40.549	51.028	55.841	45.663	59.546	49.542	33.174	29.101	46.522
APOBEC3G	0	-0.26211369420637	0.876266775025102	3.11358223388926	0.666454544980342	379	575	310	537	355	534	394	94	963	262	8.589	19.206	5.833	8.428	7.107	12.583	6.989	1.804	14.742	4.478
GMEB1	0	0.226194397349139	0.876277284856976	3.10754770439778	0.66651558841344	310	330	321	712	282	351	484	453	768	511	7.025	11.022	6.040	11.174	5.645	8.271	8.585	8.692	11.757	8.734
KIAA1468	0	0.16294244117495	0.876277284856976	5.28652194768437	0.666595697699426	1441	1083	1732	3497	1548	1748	2325	2380	2239	2358	32.655	36.174	32.589	54.883	30.989	41.190	41.241	45.665	34.275	40.301
YIPF4	0	0.189274492638996	0.876277284856976	5.38924014723155	0.666577659708513	1659	930	2470	2064	2235	1559	4828	1635	1649	2351	37.595	31.063	46.474	32.393	44.742	36.736	85.639	31.371	25.243	40.181
BNIP1	0	0.222183808009877	0.876384360875189	3.28477699194684	0.666721543713123	394	343	295	830	369	550	472	489	722	605	8.928	11.457	5.551	13.026	7.387	12.960	8.372	9.382	11.052	10.340
GP2	0	0.496674939296536	0.87640046996533	1.21833475737253	0.666780146751296	26	119	4	356	21	56	0	14	213	490	0.589	3.975	0.075	5.587	0.420	1.320	0.000	0.269	3.261	8.375
CENPQ	0	0.258278515565955	0.87640046996533	2.6283063177298	0.666822584304996	233	191	338	368	216	183	665	195	421	400	5.280	6.380	6.360	5.776	4.324	4.312	11.796	3.741	6.445	6.836
GADD45A	0	0.238058285787362	0.876713713889181	5.22256068351464	0.66719348458595	1601	1022	1038	4104	1175	417	1490	1032	8156	1634	36.280	34.136	19.531	64.410	23.522	9.826	26.430	19.801	124.852	27.927
UBE2K	0	0.174582818239384	0.876713713889181	6.66614427581932	0.667238554917685	4151	3152	4042	7904	4320	8228	5709	3426	5158	5908	94.066	105.281	76.052	124.049	86.482	193.885	101.266	65.735	78.959	100.974
SON	0	-0.195127943026184	0.876713713889181	8.50896783532625	0.667217312988004	17065	10731	23105	27173	16788	14486	16979	18519	17465	23639	386.711	358.430	434.733	426.465	336.078	341.349	301.173	355.324	267.355	404.017
ANKRA2	0	-0.244531304438629	0.876713713889181	3.58837103719886	0.667159386454599	456	443	634	1316	451	520	426	109	1301	836	10.333	14.797	11.929	20.654	9.029	12.253	7.556	2.091	19.916	14.288
APEX1	0	0.173541883659026	0.876897142518413	6.94760243987618	0.667507433123047	4438	4159	5374	9076	5356	3982	10540	5870	10914	5293	100.570	138.916	101.115	142.443	107.221	93.832	186.958	112.628	167.072	90.463
